0	2554710
1	2540660
10	2525035
100	2568385
101	2564425
102	2538315
103	2564125
104	2555395
105	2569490
106	2555705
107	2550640
108	2551170
109	2560765
11	2561655
110	2563440
111	2528045
112	2543330
113	2544710
114	2538730
115	2541695
116	2539050
117	2558005
118	2567940
119	2581715
12	2567315
120	2581580
121	2546640
122	2556855
123	2562060
124	2546955
125	2563090
126	2544190
127	2558585
128	2574275
129	2575620
13	2548960
130	2524385
131	2572245
132	2570320
133	2563035
134	2578700
135	2567435
136	2591680
137	2568960
138	2585320
139	2568510
14	2561640
140	2581940
141	2545110
142	2573575
143	2592080
144	2549160
145	2577325
146	2570025
147	2557200
148	2552850
149	2564110
15	2544125
150	2570240
151	2575660
152	2570785
153	2548830
154	2561830
155	2540495
156	2553195
157	2560025
158	2579485
159	2574945
16	2566590
160	2578125
161	2565805
162	2547635
163	2557460
164	2590635
165	2562190
166	2566785
167	2541630
168	2553230
169	2570445
17	2561645
170	2557215
171	2549125
172	2572520
173	2549930
174	2565400
175	2551185
176	2538025
177	2549150
178	2581920
179	2541230
18	2573245
180	2542540
181	2550315
182	2558505
183	2568300
184	2537010
185	2569120
186	2570420
187	2590965
188	2572890
189	2583560
19	2564715
190	2565455
191	2567430
192	2580520
193	2557970
194	2560800
195	2550810
196	2562845
197	2556670
198	2556375
199	2569340
2	2562385
20	2561125
200	2579705
201	2574385
202	2562260
203	2542630
204	2561560
205	2545990
206	2566155
207	2580355
208	2572860
209	2576925
21	2597905
210	2570180
211	2562645
212	2570645
213	2577470
214	2558580
215	2562710
216	2575060
217	2565345
218	2555365
219	2586520
22	2546515
220	2556575
221	2572635
222	2561865
223	2583445
224	2556855
225	2541300
226	2567145
227	2564745
228	2556405
229	2569185
23	2566060
230	2560970
231	2569030
232	2568850
233	2527670
234	2562395
235	2549505
236	2542910
237	2547800
238	2560705
239	2573150
24	2580670
240	2580195
241	2573925
242	2560315
243	2543895
244	2569085
245	2560115
246	2577085
247	2560495
248	2572750
249	2560260
25	2553140
250	2559375
251	2552990
252	2543530
253	2560615
254	2565020
255	2556880
256	2571605
257	2575000
258	2551365
259	2550875
26	2551620
260	2552315
261	2554960
262	2588615
263	2589800
264	2567515
265	2559040
266	2583675
267	2559025
268	2551395
269	2536125
27	2577430
270	2565080
271	2561165
272	2572745
273	2558905
274	2544625
275	2537990
276	2564990
277	2553695
278	2555885
279	2569385
28	2560910
280	2567710
281	2553675
282	2568785
283	2557070
284	2565420
285	2544855
286	2577765
287	2554855
288	2564040
289	2586870
29	2564450
290	2571980
291	2542300
292	2560545
293	2555100
294	2552200
295	2558980
296	2542205
